N,P,K,temperature,humidity,ph,rainfall,label,Primary_Fertilizer,Soil_Texture,Soil_Texture_Label,N_to_P_ratio,K_to_N_ratio
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,Calcium Ammonium Nitrate,Sandy,3,1.818181818,0.197530864
66,69,47,23.69212243,93.61055571,6.912299695,87.53393983,papaya,Superphosphate,Clay,0,0.942857143,0.701492537
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana,Calcium Ammonium Nitrate,Clay,0,1.05952381,0.522222222
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,Calcium Ammonium Nitrate,Loam,1,2.214285714,0.180851064
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,Urea,Clay,0,1.456521739,0.558823529
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,Urea,Clay,0,1.934782609,0.4
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,Calcium Ammonium Nitrate,Clay,0,1.941176471,0.15
67,43,38,25.21622704,70.88259632,7.299304715,195.8645552,jute,Calcium Ammonium Nitrate,Clay,0,1.522727273,0.558823529
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea,Sulfate of Potash (SOP),Clay,0,0.753623188,1.471698113
90,16,45,24.92093261,80.61750795,6.291540278,50.55710813,watermelon,Urea,Clay,0,5.294117647,0.494505495
63,37,43,23.41798979,85.08640476,6.661957897,185.7446728,jute,Calcium Ammonium Nitrate,Clay,0,1.657894737,0.671875
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,Calcium Ammonium Nitrate,Clay,0,1.647058824,0.517647059
95,23,45,27.82424457,90.56698742,6.266208727,21.19014526,muskmelon,Urea,Sandy,3,3.958333333,0.46875
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,Urea,Clay,0,1.710526316,0.606060606
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,Calcium Ammonium Nitrate,Sandy,3,1.431818182,0.296875
